file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,209,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,19
style.css,210,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,211,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,212,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,16
style.css,213,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,13
style.css,214,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,215,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,216,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,8
style.css,217,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,13
style.css,218,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,31
style.css,219,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,14
style.css,220,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,9
style.css,221,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,26
style.css,222,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,40
style.css,223,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,224,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,225,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,43
style.css,226,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,10
